year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,6,17,2204,2031,93,214,2348,146,B6,1069,N608JB,JFK,AUS,250,1521,20,31,2013-06-18T00:00:00Z
2013,8,4,1358,1359,-1,1729,1724,5,DL,1565,N718TW,JFK,SFO,361,2586,13,59,2013-08-04T17:00:00Z
2013,3,18,610,610,0,842,855,-13,UA,511,N548UA,EWR,LAS,311,2227,6,10,2013-03-18T10:00:00Z
2013,2,22,757,755,2,1013,1007,6,US,1733,N198UW,LGA,CLT,100,544,7,55,2013-02-22T12:00:00Z
2013,3,4,1324,1325,-1,1633,1650,-17,VX,411,N621VA,JFK,LAX,349,2475,13,25,2013-03-04T18:00:00Z
2013,1,11,802,805,-3,1026,1029,-3,9E,3538,N912XJ,JFK,MSP,157,1029,8,5,2013-01-11T13:00:00Z
2013,7,19,739,740,-1,1022,1055,-33,VX,11,N840VA,JFK,SFO,322,2586,7,40,2013-07-19T11:00:00Z
2013,11,23,708,710,-2,1007,1025,-18,AA,2279,N3BRAA,LGA,MIA,148,1096,7,10,2013-11-23T12:00:00Z
2013,9,9,1937,1935,2,2211,2242,-31,UA,208,N840UA,EWR,SEA,315,2402,19,35,2013-09-09T23:00:00Z
2013,7,27,1631,1630,1,1829,1839,-10,DL,2231,N3761R,LGA,DTW,73,502,16,30,2013-07-27T20:00:00Z
2013,10,26,705,710,-5,1011,1025,-14,AA,1345,N319AA,JFK,MIA,147,1089,7,10,2013-10-26T11:00:00Z
2013,3,20,1535,1530,5,1907,1855,12,AA,1039,N3CFAA,JFK,FLL,180,1069,15,30,2013-03-20T19:00:00Z
2013,4,2,1041,1048,-7,1252,1301,-9,EV,4169,N10575,EWR,IND,111,645,10,48,2013-04-02T14:00:00Z
2013,7,2,2343,2245,58,102,3,59,B6,486,N274JB,JFK,ROC,47,264,22,45,2013-07-03T02:00:00Z
2013,12,6,543,545,-2,901,832,29,UA,559,N575UA,LGA,IAH,212,1416,5,45,2013-12-06T10:00:00Z
2013,11,25,2014,1930,44,2307,2238,29,B6,225,N760JB,JFK,TPA,152,1005,19,30,2013-11-26T00:00:00Z
2013,11,19,623,630,-7,747,805,-18,AA,303,N499AA,LGA,ORD,123,733,6,30,2013-11-19T11:00:00Z
2013,4,26,1855,1900,-5,2043,2045,-2,EV,5038,N761ND,LGA,BHM,131,866,19,0,2013-04-26T23:00:00Z
2013,9,19,2046,2030,16,2150,2155,-5,WN,1707,N204WN,LGA,MDW,102,725,20,30,2013-09-20T00:00:00Z
2013,12,4,1407,1211,116,1616,1427,109,EV,4567,N27200,EWR,MCI,159,1092,12,11,2013-12-04T17:00:00Z
2013,3,22,1001,1000,1,1222,1234,-12,DL,1847,N396DA,LGA,ATL,111,762,10,0,2013-03-22T14:00:00Z
2013,2,11,NA,825,NA,NA,945,NA,MQ,4418,N840MQ,JFK,DCA,NA,213,8,25,2013-02-11T13:00:00Z
2013,5,20,2008,2000,8,2233,2237,-4,DL,1147,N957DL,LGA,ATL,104,762,20,0,2013-05-21T00:00:00Z
2013,8,2,1032,1035,-3,1328,1350,-22,AA,1879,N3GYAA,LGA,MIA,152,1096,10,35,2013-08-02T14:00:00Z
2013,8,23,1234,1159,35,1416,1344,32,MQ,3404,N720MQ,LGA,RDU,65,431,11,59,2013-08-23T15:00:00Z
2013,8,16,605,610,-5,744,808,-24,DL,1919,N342NW,LGA,MSP,133,1020,6,10,2013-08-16T10:00:00Z
2013,12,28,2050,2055,-5,2203,2223,-20,9E,2905,N901XJ,JFK,BOS,42,187,20,55,2013-12-29T01:00:00Z
2013,8,19,1420,1411,9,1653,1702,-9,B6,1883,N554JB,JFK,MCO,134,944,14,11,2013-08-19T18:00:00Z
2013,12,29,1705,1635,30,1856,1825,31,AA,343,N528AA,LGA,ORD,122,733,16,35,2013-12-29T21:00:00Z
2013,10,8,2106,2015,51,2243,2153,50,EV,4106,N14998,EWR,GSO,69,445,20,15,2013-10-09T00:00:00Z
2013,4,5,1123,1125,-2,1323,1327,-4,EV,5277,N751EV,EWR,MSP,155,1008,11,25,2013-04-05T15:00:00Z
2013,5,28,1500,1455,5,1653,1649,4,EV,4326,N12563,EWR,CLT,81,529,14,55,2013-05-28T18:00:00Z
2013,2,26,956,959,-3,1320,1333,-13,US,450,N667AW,JFK,PHX,299,2153,9,59,2013-02-26T14:00:00Z
2013,2,4,1235,1240,-5,1437,1445,-8,DL,1131,N344NB,LGA,DTW,92,502,12,40,2013-02-04T17:00:00Z
2013,12,13,607,615,-8,833,845,-12,MQ,3550,N526MQ,LGA,ATL,119,762,6,15,2013-12-13T11:00:00Z
2013,12,8,1746,1730,16,2101,1955,66,UA,1022,N34455,EWR,DEN,257,1605,17,30,2013-12-08T22:00:00Z
2013,11,2,1448,1500,-12,1543,1611,-28,US,2152,N955UW,LGA,BOS,31,184,15,0,2013-11-02T19:00:00Z
2013,5,26,1923,1915,8,2207,2230,-23,UA,1152,N17229,EWR,PDX,326,2434,19,15,2013-05-26T23:00:00Z
2013,12,27,1535,1543,-8,1746,1749,-3,US,1767,N111US,LGA,CLT,92,544,15,43,2013-12-27T20:00:00Z
2013,4,9,1252,1300,-8,1444,1505,-21,9E,3867,N8948B,EWR,CVG,93,569,13,0,2013-04-09T17:00:00Z
2013,6,2,758,756,2,930,931,-1,B6,1103,N358JB,JFK,RDU,65,427,7,56,2013-06-02T11:00:00Z
2013,12,11,1457,1459,-2,1826,1814,12,UA,287,N445UA,EWR,AUS,237,1504,14,59,2013-12-11T19:00:00Z
2013,6,15,1354,1355,-1,1547,1550,-3,MQ,3567,N505MQ,LGA,CLT,73,544,13,55,2013-06-15T17:00:00Z
2013,10,30,1521,1520,1,1814,1840,-26,DL,1982,N348NB,LGA,MIA,138,1096,15,20,2013-10-30T19:00:00Z
2013,4,20,1455,1421,34,1607,1534,33,EV,4372,N16918,EWR,DCA,49,199,14,21,2013-04-20T18:00:00Z
2013,6,24,908,915,-7,1033,1039,-6,DL,867,N314NB,JFK,BOS,41,187,9,15,2013-06-24T13:00:00Z
2013,4,22,2037,2040,-3,2150,2200,-10,MQ,4449,N812MQ,JFK,DCA,47,213,20,40,2013-04-23T00:00:00Z
2013,6,29,1956,1955,1,2219,2305,-46,UA,1635,N75435,EWR,SEA,304,2402,19,55,2013-06-29T23:00:00Z
2013,11,10,1610,1615,-5,1856,1856,0,DL,843,N916DL,JFK,ATL,109,760,16,15,2013-11-10T21:00:00Z
2013,4,18,2111,2105,6,2255,2305,-10,MQ,4573,N842MQ,LGA,DTW,81,502,21,5,2013-04-19T01:00:00Z
2013,1,2,1101,1100,1,1201,1215,-14,WN,3094,N701GS,LGA,BWI,35,185,11,0,2013-01-02T16:00:00Z
2013,2,21,1325,1330,-5,1746,1825,-39,DL,315,N3747D,JFK,SJU,181,1598,13,30,2013-02-21T18:00:00Z
2013,5,24,1922,1700,142,2234,2025,129,AA,181,N329AA,JFK,LAX,325,2475,17,0,2013-05-24T21:00:00Z
2013,7,27,1710,1540,90,1902,1740,82,US,980,N769US,LGA,CLT,87,544,15,40,2013-07-27T19:00:00Z
2013,4,29,900,900,0,1149,1157,-8,UA,636,N453UA,EWR,IAH,195,1400,9,0,2013-04-29T13:00:00Z
2013,4,28,1933,1935,-2,2234,2256,-22,DL,1433,N325NB,LGA,RSW,163,1080,19,35,2013-04-28T23:00:00Z
2013,2,17,1304,1259,5,1420,1420,0,EV,4584,N13997,EWR,RIC,52,277,12,59,2013-02-17T17:00:00Z
2013,2,1,1953,1935,18,2210,2207,3,EV,4333,N12175,EWR,TUL,181,1215,19,35,2013-02-02T00:00:00Z
2013,11,7,1245,1245,0,1538,1600,-22,AA,1697,N5FMAA,JFK,MIA,154,1089,12,45,2013-11-07T17:00:00Z
2013,4,4,1624,1629,-5,1933,1939,-6,AA,565,N3CSAA,JFK,DFW,202,1391,16,29,2013-04-04T20:00:00Z
2013,2,28,639,645,-6,826,846,-20,US,1281,N192UW,EWR,CLT,88,529,6,45,2013-02-28T11:00:00Z
2013,5,6,556,600,-4,651,715,-24,WN,433,N758SW,EWR,MDW,95,711,6,0,2013-05-06T10:00:00Z
2013,1,19,1134,1140,-6,1443,1450,-7,DL,930,N368NB,LGA,FLL,154,1076,11,40,2013-01-19T16:00:00Z
2013,8,22,2103,2055,8,2234,2245,-11,EV,4672,N13914,EWR,STL,129,872,20,55,2013-08-23T00:00:00Z
2013,3,16,2045,2045,0,7,2357,10,B6,677,N627JB,JFK,LAX,360,2475,20,45,2013-03-17T00:00:00Z
2013,8,28,NA,1559,NA,NA,1719,NA,MQ,3748,N520MQ,EWR,ORD,NA,719,15,59,2013-08-28T19:00:00Z
2013,4,6,1302,1307,-5,1422,1425,-3,B6,32,N304JB,JFK,ROC,57,264,13,7,2013-04-06T17:00:00Z
2013,10,13,1525,1520,5,1827,1805,22,UA,404,N511UA,EWR,IAH,190,1400,15,20,2013-10-13T19:00:00Z
2013,5,16,1814,1625,109,2039,1834,125,EV,4571,N14953,EWR,SAV,106,708,16,25,2013-05-16T20:00:00Z
2013,2,5,1459,1505,-6,1725,1734,-9,UA,745,N526UA,LGA,DEN,245,1620,15,5,2013-02-05T20:00:00Z
2013,2,24,923,929,-6,1042,1050,-8,EV,4160,N16911,EWR,RIC,56,277,9,29,2013-02-24T14:00:00Z
2013,8,6,801,805,-4,1045,1055,-10,DL,1109,N333NB,LGA,TPA,134,1010,8,5,2013-08-06T12:00:00Z
2013,12,8,926,921,5,1257,1235,22,B6,223,N637JB,JFK,LAX,371,2475,9,21,2013-12-08T14:00:00Z
2013,5,7,847,850,-3,1239,1300,-21,AA,1357,N5FSAA,JFK,SJU,208,1598,8,50,2013-05-07T12:00:00Z
2013,11,9,1547,1550,-3,1732,1742,-10,9E,2927,N293PQ,JFK,ORD,134,740,15,50,2013-11-09T20:00:00Z
2013,10,9,1256,1300,-4,1556,1605,-9,UA,1158,N36472,EWR,MIA,158,1085,13,0,2013-10-09T17:00:00Z
2013,12,29,921,920,1,1224,1245,-21,VX,407,N631VA,JFK,LAX,333,2475,9,20,2013-12-29T14:00:00Z
2013,9,23,1909,1855,14,2144,2131,13,DL,87,N176DZ,JFK,ATL,113,760,18,55,2013-09-23T22:00:00Z
2013,4,9,1648,1623,25,1855,1840,15,DL,1619,N357NW,LGA,MSP,147,1020,16,23,2013-04-09T20:00:00Z
2013,6,30,NA,1600,NA,NA,1718,NA,US,2134,NA,LGA,BOS,NA,184,16,0,2013-06-30T20:00:00Z
2013,10,27,2126,2100,26,2309,2243,26,EV,4672,N13992,EWR,STL,130,872,21,0,2013-10-28T01:00:00Z
2013,11,16,1532,1530,2,1752,1752,0,DL,1942,N935AT,EWR,ATL,114,746,15,30,2013-11-16T20:00:00Z
2013,10,30,610,615,-5,741,750,-9,MQ,3525,N725MQ,LGA,RDU,67,431,6,15,2013-10-30T10:00:00Z
2013,11,8,1402,1355,7,1542,1550,-8,MQ,3567,N528MQ,LGA,CLT,86,544,13,55,2013-11-08T18:00:00Z
2013,3,29,1343,1350,-7,1554,1615,-21,US,186,N673AW,EWR,PHX,287,2133,13,50,2013-03-29T17:00:00Z
2013,7,2,926,915,11,1319,1307,12,UA,1216,N38459,EWR,SJU,208,1608,9,15,2013-07-02T13:00:00Z
2013,5,4,1101,1105,-4,1251,1250,1,MQ,4471,N738MQ,LGA,RDU,70,431,11,5,2013-05-04T15:00:00Z
2013,4,11,819,820,-1,1151,1212,-21,B6,403,N775JB,JFK,SJU,193,1598,8,20,2013-04-11T12:00:00Z
2013,5,10,1727,1732,-5,2113,2114,-1,B6,647,N658JB,JFK,SFO,352,2586,17,32,2013-05-10T21:00:00Z
2013,4,20,940,945,-5,1136,1124,12,B6,885,N236JB,JFK,RDU,86,427,9,45,2013-04-20T13:00:00Z
2013,9,26,951,1000,-9,1239,1231,8,9E,3512,N920XJ,LGA,IND,95,660,10,0,2013-09-26T14:00:00Z
2013,10,16,1734,1735,-1,2026,2055,-29,AA,2351,N368AA,JFK,MIA,144,1089,17,35,2013-10-16T21:00:00Z
2013,7,25,713,704,9,1012,1004,8,UA,1103,N35204,EWR,PDX,335,2434,7,4,2013-07-25T11:00:00Z
2013,11,16,1722,1729,-7,1957,2028,-31,UA,1109,N14120,EWR,MCO,136,937,17,29,2013-11-16T22:00:00Z
2013,11,1,2137,2140,-3,2239,2255,-16,MQ,3621,N807MQ,JFK,DCA,41,213,21,40,2013-11-02T01:00:00Z
2013,9,14,1926,1930,-4,2206,2250,-44,AA,235,N3CHAA,JFK,SEA,317,2422,19,30,2013-09-14T23:00:00Z
2013,12,8,1519,1440,39,1728,1644,44,DL,1231,N924DL,LGA,DTW,94,502,14,40,2013-12-08T19:00:00Z
2013,8,13,1603,1525,38,1806,1737,29,EV,4352,N18556,EWR,CVG,99,569,15,25,2013-08-13T19:00:00Z
2013,1,3,1624,1625,-1,1851,1855,-4,MQ,4661,N525MQ,LGA,ATL,126,762,16,25,2013-01-03T21:00:00Z
2013,11,14,1728,1730,-2,1949,2005,-16,DL,1499,N347NB,LGA,ATL,112,762,17,30,2013-11-14T22:00:00Z
2013,10,6,1808,1815,-7,2102,2130,-28,UA,1075,N54711,EWR,SNA,311,2434,18,15,2013-10-06T22:00:00Z
2013,3,24,2253,1605,408,144,1902,402,UA,626,N561UA,EWR,PBI,155,1023,16,5,2013-03-24T20:00:00Z
2013,12,22,1559,1530,29,1902,1903,-1,DL,417,N188DN,JFK,LAX,330,2475,15,30,2013-12-22T20:00:00Z
2013,5,7,1402,1359,3,1634,1714,-40,UA,1606,N77530,EWR,SFO,312,2565,13,59,2013-05-07T17:00:00Z
2013,1,13,1506,1459,7,1621,1631,-10,B6,8,N656JB,JFK,BUF,55,301,14,59,2013-01-13T19:00:00Z
2013,10,10,1859,1830,29,2157,2157,0,UA,389,N589UA,JFK,SFO,335,2586,18,30,2013-10-10T22:00:00Z
2013,1,1,1130,1125,5,1301,1305,-4,AA,327,N3DEAA,LGA,ORD,127,733,11,25,2013-01-01T16:00:00Z
2013,7,25,1834,1830,4,2149,2139,10,UA,1684,N38458,EWR,MIA,150,1085,18,30,2013-07-25T22:00:00Z
2013,11,10,1346,1340,6,1711,1715,-4,WN,1835,N281WN,EWR,PHX,305,2133,13,40,2013-11-10T18:00:00Z
2013,5,25,2011,2015,-4,2258,2308,-10,B6,43,N562JB,JFK,MCO,124,944,20,15,2013-05-26T00:00:00Z
2013,10,20,836,840,-4,958,1000,-2,EV,5666,N22909,EWR,MKE,116,725,8,40,2013-10-20T12:00:00Z
2013,5,27,1656,1700,-4,1817,1832,-15,B6,618,N334JB,JFK,PWM,50,273,17,0,2013-05-27T21:00:00Z
2013,5,20,1936,1925,11,2209,2129,40,9E,3525,N937XJ,JFK,ORD,108,740,19,25,2013-05-20T23:00:00Z
2013,1,3,1108,1115,-7,1307,1310,-3,MQ,4485,N722MQ,LGA,CMH,94,479,11,15,2013-01-03T16:00:00Z
2013,1,30,1513,1500,13,1702,1653,9,US,720,N181UW,EWR,CLT,88,529,15,0,2013-01-30T20:00:00Z
2013,1,31,2312,2159,73,8,2300,68,EV,4519,N14993,EWR,BWI,38,169,21,59,2013-02-01T02:00:00Z
2013,2,25,1631,1640,-9,1932,1942,-10,B6,143,N568JB,JFK,PBI,160,1028,16,40,2013-02-25T21:00:00Z
2013,9,9,1131,1129,2,1418,1429,-11,AA,1139,N3FVAA,LGA,DFW,180,1389,11,29,2013-09-09T15:00:00Z
2013,12,20,2248,2225,23,213,131,42,B6,623,N789JB,JFK,LAX,352,2475,22,25,2013-12-21T03:00:00Z
2013,6,24,1048,1045,3,1215,1241,-26,EV,5033,N605QX,LGA,MEM,125,963,10,45,2013-06-24T14:00:00Z
2013,7,7,1643,1641,2,1929,1913,16,EV,3854,N16559,EWR,ATL,125,746,16,41,2013-07-07T20:00:00Z
2013,12,16,604,605,-1,811,814,-3,DL,1919,N902DA,LGA,MSP,155,1020,6,5,2013-12-16T11:00:00Z
2013,11,27,753,800,-7,1051,1034,17,9E,2924,N296PQ,JFK,MSY,191,1182,8,0,2013-11-27T13:00:00Z
2013,8,19,1927,1930,-3,2211,2224,-13,DL,1485,N388DA,LGA,MCO,138,950,19,30,2013-08-19T23:00:00Z
2013,2,22,1451,1500,-9,1600,1619,-19,US,2179,N714US,LGA,DCA,48,214,15,0,2013-02-22T20:00:00Z
2013,1,9,609,615,-6,804,820,-16,US,1791,N723UW,JFK,CLT,89,541,6,15,2013-01-09T11:00:00Z
2013,8,16,NA,1825,NA,NA,2009,NA,EV,5207,N752EV,LGA,BGR,NA,378,18,25,2013-08-16T22:00:00Z
2013,9,9,1424,1415,9,1620,1631,-11,DL,673,N307DQ,EWR,ATL,95,746,14,15,2013-09-09T18:00:00Z
2013,7,19,2003,1855,68,2150,2059,51,US,1897,N536UW,LGA,CLT,76,544,18,55,2013-07-19T22:00:00Z
2013,1,27,1451,1455,-4,1639,1654,-15,EV,4572,N14562,EWR,GSP,94,594,14,55,2013-01-27T19:00:00Z
2013,8,7,558,600,-2,833,844,-11,UA,1115,N14228,EWR,TPA,130,997,6,0,2013-08-07T10:00:00Z
2013,10,19,1203,1206,-3,1423,1415,8,EV,4567,N13202,EWR,MCI,175,1092,12,6,2013-10-19T16:00:00Z
2013,1,5,1704,1655,9,2019,2030,-11,VX,413,N626VA,JFK,LAX,348,2475,16,55,2013-01-05T21:00:00Z
2013,3,3,1913,1759,74,2105,1949,76,EV,4644,N12569,EWR,CMH,70,463,17,59,2013-03-03T22:00:00Z
2013,7,15,925,930,-5,1027,1039,-12,B6,116,N292JB,JFK,SYR,43,209,9,30,2013-07-15T13:00:00Z
2013,2,18,1212,1215,-3,1530,1516,14,B6,625,N228JB,JFK,HOU,230,1428,12,15,2013-02-18T17:00:00Z
2013,11,20,723,729,-6,829,843,-14,UA,424,N476UA,EWR,BOS,42,200,7,29,2013-11-20T12:00:00Z
2013,5,21,NA,1259,NA,NA,1456,NA,US,1459,NA,LGA,CLT,NA,544,12,59,2013-05-21T16:00:00Z
2013,4,22,1520,1445,35,1756,1709,47,EV,5660,N11551,EWR,ATL,129,746,14,45,2013-04-22T18:00:00Z
2013,11,17,1914,1905,9,2218,2205,13,AA,1691,N487AA,EWR,DFW,206,1372,19,5,2013-11-18T00:00:00Z
2013,6,9,603,610,-7,805,809,-4,DL,1919,N968DL,LGA,MSP,159,1020,6,10,2013-06-09T10:00:00Z
2013,6,17,814,815,-1,1047,1035,12,DL,1429,N616DL,JFK,LAS,296,2248,8,15,2013-06-17T12:00:00Z
2013,1,16,1724,1635,49,1825,1750,35,B6,1176,N197JB,EWR,BOS,39,200,16,35,2013-01-16T21:00:00Z
2013,3,9,1932,1851,41,2216,2212,4,UA,784,N845UA,EWR,PDX,321,2434,18,51,2013-03-09T23:00:00Z
2013,12,22,801,755,6,923,925,-2,WN,398,N493WN,EWR,MDW,121,711,7,55,2013-12-22T12:00:00Z
2013,8,11,2110,2040,30,26,2351,35,UA,1078,N27724,EWR,SAT,223,1569,20,40,2013-08-12T00:00:00Z
2013,12,9,1133,955,98,1412,1230,102,MQ,3644,N514MQ,LGA,ATL,131,762,9,55,2013-12-09T14:00:00Z
2013,5,15,2010,1937,33,2246,2244,2,UA,1041,N77518,EWR,SAN,310,2425,19,37,2013-05-15T23:00:00Z
2013,2,25,1448,1450,-2,1805,1755,10,AA,1813,N5FAAA,JFK,MCO,170,944,14,50,2013-02-25T19:00:00Z
2013,8,20,1429,1430,-1,1551,1604,-13,UA,1290,N12225,EWR,CLE,60,404,14,30,2013-08-20T18:00:00Z
2013,4,2,1153,1200,-7,1318,1339,-21,UA,460,N813UA,LGA,ORD,119,733,12,0,2013-04-02T16:00:00Z
2013,4,10,1017,1015,2,1209,1212,-3,US,1427,N747UW,JFK,CLT,82,541,10,15,2013-04-10T14:00:00Z
2013,4,17,649,655,-6,904,912,-8,B6,117,N281JB,JFK,MSY,169,1182,6,55,2013-04-17T10:00:00Z
2013,11,18,911,915,-4,1229,1235,-6,DL,874,N334NB,LGA,MIA,157,1096,9,15,2013-11-18T14:00:00Z
2013,2,4,1720,1708,12,2030,2026,4,UA,1606,N37427,EWR,LAX,339,2454,17,8,2013-02-04T22:00:00Z
2013,1,1,1910,1909,1,2126,2046,40,EV,3807,N13978,EWR,BNA,159,748,19,9,2013-01-02T00:00:00Z
2013,6,6,945,945,0,1059,1120,-21,WN,2431,N493WN,LGA,MDW,116,725,9,45,2013-06-06T13:00:00Z
2013,11,16,1450,1450,0,1613,1631,-18,9E,2907,N922XJ,JFK,BUF,55,301,14,50,2013-11-16T19:00:00Z
2013,10,7,657,700,-3,950,1015,-25,VX,399,N631VA,JFK,LAX,329,2475,7,0,2013-10-07T11:00:00Z
2013,10,16,2119,2054,25,23,2358,25,B6,1295,N564JB,JFK,AUS,216,1521,20,54,2013-10-17T00:00:00Z
2013,4,22,1508,1412,56,1815,1635,100,FL,366,N937AT,LGA,ATL,124,762,14,12,2013-04-22T18:00:00Z
2013,5,16,1904,1859,5,2126,2122,4,FL,645,N935AT,LGA,ATL,106,762,18,59,2013-05-16T22:00:00Z
2013,10,28,1242,1240,2,1507,1438,29,9E,3291,N604LR,EWR,DTW,107,488,12,40,2013-10-28T16:00:00Z
2013,4,28,1225,1230,-5,1422,1440,-18,EV,4530,N16559,EWR,MCI,156,1092,12,30,2013-04-28T16:00:00Z
2013,2,3,1613,1615,-2,1830,1845,-15,WN,1842,N493WN,EWR,DEN,239,1605,16,15,2013-02-03T21:00:00Z
2013,5,31,1854,1859,-5,2118,2122,-4,FL,645,N997AT,LGA,ATL,104,762,18,59,2013-05-31T22:00:00Z
2013,8,22,857,901,-4,1155,1143,12,B6,189,N729JB,JFK,SAN,292,2446,9,1,2013-08-22T13:00:00Z
2013,9,19,1549,1543,6,1741,1745,-4,US,2088,N114UW,LGA,CLT,75,544,15,43,2013-09-19T19:00:00Z
2013,10,8,1802,1805,-3,2003,2028,-25,UA,1139,N37419,EWR,DEN,206,1605,18,5,2013-10-08T22:00:00Z
2013,7,17,1112,1117,-5,1315,1335,-20,UA,405,N476UA,LGA,DEN,202,1620,11,17,2013-07-17T15:00:00Z
2013,12,10,NA,2119,NA,NA,2309,NA,EV,4672,N11565,EWR,STL,NA,872,21,19,2013-12-11T02:00:00Z
2013,2,11,2014,1935,39,2347,2220,87,EV,4204,N21130,EWR,OKC,237,1325,19,35,2013-02-12T00:00:00Z
2013,6,12,1150,1154,-4,1423,1453,-30,DL,2303,N3732J,LGA,PBI,131,1035,11,54,2013-06-12T15:00:00Z
2013,11,12,833,803,30,1041,1032,9,UA,561,N565UA,LGA,DEN,215,1620,8,3,2013-11-12T13:00:00Z
2013,12,12,2154,2157,-3,2303,2305,-2,UA,736,N823UA,EWR,BOS,41,200,21,57,2013-12-13T02:00:00Z
2013,8,5,836,834,2,1031,1032,-1,B6,219,N179JB,JFK,CLT,83,541,8,34,2013-08-05T12:00:00Z
2013,4,26,1520,1519,1,1819,1820,-1,UA,1600,N29124,EWR,LAX,330,2454,15,19,2013-04-26T19:00:00Z
2013,6,10,1814,1700,74,2023,1835,108,MQ,4255,N626MQ,JFK,BNA,127,765,17,0,2013-06-10T21:00:00Z
2013,9,26,658,700,-2,934,1010,-36,DL,1415,N3739P,JFK,SLC,261,1990,7,0,2013-09-26T11:00:00Z
2013,2,5,1457,1500,-3,1642,1653,-11,US,720,N566UW,EWR,CLT,88,529,15,0,2013-02-05T20:00:00Z
2013,3,6,1130,1137,-7,1439,1445,-6,UA,1601,N78285,EWR,FLL,169,1065,11,37,2013-03-06T16:00:00Z
2013,12,2,1809,1801,8,1954,1944,10,UA,654,N829UA,EWR,ORD,115,719,18,1,2013-12-02T23:00:00Z
2013,2,11,2228,1925,183,110,2229,161,DL,1485,N920DL,LGA,MCO,135,950,19,25,2013-02-12T00:00:00Z
2013,7,17,940,945,-5,1047,1125,-38,AA,317,N435AA,LGA,ORD,100,733,9,45,2013-07-17T13:00:00Z
2013,7,16,1002,959,3,1159,1225,-26,B6,411,N746JB,JFK,LAS,264,2248,9,59,2013-07-16T13:00:00Z
2013,2,15,745,745,0,1048,1125,-37,AA,59,N336AA,JFK,SFO,341,2586,7,45,2013-02-15T12:00:00Z
2013,7,10,1258,1300,-2,1518,1540,-22,AA,1841,N434AA,EWR,DFW,174,1372,13,0,2013-07-10T17:00:00Z
2013,12,14,626,630,-4,914,919,-5,B6,1099,N508JB,LGA,MCO,140,950,6,30,2013-12-14T11:00:00Z
2013,9,16,1520,1520,0,1849,1838,11,DL,1982,N324NB,LGA,MIA,160,1096,15,20,2013-09-16T19:00:00Z
2013,7,26,1632,1629,3,1955,1927,28,B6,1161,N629JB,LGA,PBI,139,1035,16,29,2013-07-26T20:00:00Z
2013,8,22,1605,1349,136,1841,1639,122,UA,1149,N27733,EWR,PBI,135,1023,13,49,2013-08-22T17:00:00Z
2013,1,28,1543,1545,-2,1708,1744,-36,UA,1710,N17730,LGA,CLE,72,419,15,45,2013-01-28T20:00:00Z
2013,3,13,2120,2033,47,108,24,44,UA,1071,N76523,EWR,BQN,207,1585,20,33,2013-03-14T00:00:00Z
2013,4,2,557,600,-3,854,911,-17,UA,1077,N37293,EWR,MIA,157,1085,6,0,2013-04-02T10:00:00Z
2013,4,19,2250,1900,230,28,2015,253,US,2187,N716UW,LGA,DCA,55,214,19,0,2013-04-19T23:00:00Z
